,date_place,combined_text
338,"2014-12-05, Austin","rain, hot, warm ||"
339,"2014-12-06, Austin","rain, hot, warm ||"
340,"2014-12-07, Austin","dry, warm, warm ||"
341,"2014-12-08, Austin","dry, warm, cold ||"
342,"2014-12-09, Austin","dry, warm, cold ||"
343,"2014-12-10, Austin","dry, warm, cold ||"
344,"2014-12-11, Austin","dry, warm, cold ||"
345,"2014-12-12, Austin","downpour, hot, warm ||"
346,"2014-12-13, Austin","dry, hot, warm ||"
347,"2014-12-14, Austin","dry, hot, warm ||"
348,"2014-12-15, Austin","rain, hot, warm ||"
349,"2014-12-16, Austin","dry, hot, cold ||"
350,"2014-12-17, Austin","dry, warm, cold ||"
351,"2014-12-18, Austin","downpour, warm, cold ||"
352,"2014-12-19, Austin","torrential, warm, warm ||"
353,"2014-12-20, Austin","torrential, warm, cold ||"
354,"2014-12-21, Austin","dry, warm, warm ||"
355,"2014-12-22, Austin","dry, warm, warm ||"
356,"2014-12-23, Austin","rain, hot, warm ||"
357,"2014-12-24, Austin","dry, warm, cold ||"
358,"2014-12-25, Austin","dry, warm, cold ||"
359,"2014-12-26, Austin","dry, warm, cold ||"
360,"2014-12-27, Austin","downpour, hot, warm ||"
361,"2014-12-28, Austin","torrential, hot, cold ||"
362,"2014-12-29, Austin","torrential, cold, cold ||"
363,"2014-12-30, Austin","dry, warm, cold ||"
364,"2014-12-31, Austin","dry, warm, cold ||"
365,"2015-01-01, Austin","downpour, cold, cold ||"
366,"2015-01-02, Austin","downpour, cold, cold ||"
367,"2015-01-03, Austin","torrential, cold, cold ||"
368,"2015-01-04, Austin","dry, warm, cold ||"
369,"2015-01-05, Austin","dry, warm, freezing ||"
370,"2015-01-06, Austin","dry, warm, freezing ||"
371,"2015-01-07, Austin","dry, warm, cold ||"
372,"2015-01-08, Austin","dry, warm, freezing ||"
373,"2015-01-09, Austin","downpour, cold, freezing ||"
374,"2015-01-10, Austin","drizzle, cold, cold ||"
375,"2015-01-11, Austin","torrential, cold, cold ||"
376,"2015-01-12, Austin","downpour, cold, cold ||"
377,"2015-01-13, Austin","downpour, cold, cold ||"
378,"2015-01-14, Austin","drizzle, cold, cold ||"
379,"2015-01-15, Austin","drizzle, cold, cold ||"
380,"2015-01-16, Austin","dry, warm, cold ||"
381,"2015-01-17, Austin","dry, warm, cold ||"
382,"2015-01-18, Austin","dry, warm, cold ||"
383,"2015-01-19, Austin","dry, warm, cold ||"
384,"2015-01-20, Austin","dry, hot, cold ||"
385,"2015-01-21, Austin","dry, hot, warm ||"
386,"2015-01-22, Austin","downpour, hot, warm ||"
387,"2015-01-23, Austin","torrential, warm, cold ||"
388,"2015-01-24, Austin","downpour, cold, cold ||"
389,"2015-01-25, Austin","dry, warm, cold ||"
390,"2015-01-26, Austin","dry, warm, cold ||"
391,"2015-01-27, Austin","dry, hot, cold ||"
392,"2015-01-28, Austin","dry, hot, cold ||"
393,"2015-01-29, Austin","dry, hot, cold ||"
394,"2015-01-30, Austin","dry, hot, cold ||"
395,"2015-01-31, Austin","dry, warm, cold ||"
396,"2015-02-01, Austin","rain, warm, cold ||"
397,"2015-02-02, Austin","dry, hot, cold ||"
398,"2015-02-03, Austin","torrential, cold, cold ||"
399,"2015-02-04, Austin","torrential, cold, cold ||"
400,"2015-02-05, Austin","rain, warm, cold ||"
401,"2015-02-06, Austin","dry, cold, cold ||"
402,"2015-02-07, Austin","dry, warm, cold ||"
403,"2015-02-08, Austin","dry, warm, cold ||"
404,"2015-02-09, Austin","drizzle, hot, warm ||"
405,"2015-02-10, Austin","dry, hot, cold ||"
406,"2015-02-11, Austin","dry, hot, warm ||"
407,"2015-02-12, Austin","dry, hot, cold ||"
408,"2015-02-13, Austin","dry, warm, cold ||"
409,"2015-02-14, Austin","dry, warm, cold ||"
410,"2015-02-15, Austin","dry, hot, cold ||"
411,"2015-02-16, Austin","downpour, warm, warm ||"
412,"2015-02-17, Austin","downpour, warm, cold ||"
413,"2015-02-18, Austin","drizzle, warm, freezing ||"
414,"2015-02-19, Austin","dry, warm, cold ||"
415,"2015-02-20, Austin","drizzle, warm, cold ||"
416,"2015-02-21, Austin","rain, hot, warm ||"
417,"2015-02-22, Austin","dry, hot, warm ||"
418,"2015-02-23, Austin","dry, hot, cold ||"
419,"2015-02-24, Austin","downpour, cold, freezing ||"
420,"2015-02-25, Austin","downpour, cold, freezing ||"
421,"2015-02-26, Austin","dry, warm, freezing ||"
422,"2015-02-27, Austin","dry, warm, cold ||"
423,"2015-02-28, Austin","dry, cold, cold ||"
424,"2015-03-01, Austin","torrential, warm, cold ||"
425,"2015-03-02, Austin","rain, cold, cold ||"
426,"2015-03-03, Austin","drizzle, warm, cold ||"
427,"2015-03-04, Austin","dry, hot, warm ||"
428,"2015-03-05, Austin","downpour, hot, cold ||"
429,"2015-03-06, Austin","dry, cold, freezing ||"
430,"2015-03-07, Austin","dry, warm, cold ||"
431,"2015-03-08, Austin","torrential, warm, cold ||"
432,"2015-03-09, Austin","torrential, warm, cold ||"
433,"2015-03-10, Austin","torrential, warm, cold ||"
434,"2015-03-11, Austin","dry, warm, warm ||"
435,"2015-03-12, Austin","drizzle, warm, warm ||"
436,"2015-03-13, Austin","downpour, warm, warm ||"
437,"2015-03-14, Austin","drizzle, hot, warm ||"
438,"2015-03-15, Austin","dry, hot, warm ||"
439,"2015-03-16, Austin","dry, warm, warm ||"
440,"2015-03-17, Austin","torrential, hot, warm ||"
441,"2015-03-18, Austin","torrential, hot, warm ||"
442,"2015-03-19, Austin","torrential, hot, warm ||"
443,"2015-03-20, Austin","downpour, hot, warm ||"
444,"2015-03-21, Austin","torrential, hot, warm ||"
445,"2015-03-22, Austin","torrential, warm, warm ||"
446,"2015-03-23, Austin","dry, hot, warm ||"
447,"2015-03-24, Austin","dry, hot, warm ||"
448,"2015-03-25, Austin","dry, hot, warm ||"
449,"2015-03-26, Austin","rain, hot, warm ||"
450,"2015-03-27, Austin","dry, warm, cold ||"
451,"2015-03-28, Austin","dry, hot, warm ||"
452,"2015-03-29, Austin","dry, hot, warm ||"
453,"2015-03-30, Austin","dry, hot, warm ||"
