,index,station,date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT05,WT11,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
67,67,GHCND:USC00412114,2014-04-18T00:00:00,9.0,0.0,,,222.0,117.0,133.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
68,68,GHCND:USC00412114,2014-04-19T00:00:00,0.0,0.0,,,256.0,106.0,128.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
69,69,GHCND:USC00412114,2014-04-20T00:00:00,0.0,0.0,,,278.0,122.0,139.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
70,70,GHCND:USC00412114,2014-04-21T00:00:00,4.0,0.0,,,283.0,133.0,161.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
71,71,GHCND:USC00412114,2014-04-22T00:00:00,0.0,3.0,,,278.0,161.0,183.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
72,72,GHCND:USC00412114,2014-04-23T00:00:00,0.0,0.0,,,289.0,139.0,144.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
73,73,GHCND:USC00412114,2014-04-24T00:00:00,36.0,0.0,,,311.0,144.0,194.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
74,74,GHCND:USC00412114,2014-04-25T00:00:00,13.0,28.0,,,283.0,139.0,139.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
75,75,GHCND:USC00412114,2014-04-26T00:00:00,36.0,0.0,,,294.0,139.0,189.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
76,76,GHCND:USC00412114,2014-04-27T00:00:00,58.0,0.0,,,278.0,189.0,233.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
77,77,GHCND:USC00412114,2014-04-28T00:00:00,9.0,76.0,,,317.0,200.0,206.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
78,78,GHCND:USC00412114,2014-04-29T00:00:00,0.0,0.0,,,300.0,128.0,133.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
79,79,GHCND:USC00412114,2014-04-30T00:00:00,31.0,0.0,,,261.0,89.0,117.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
80,80,GHCND:USC00412114,2014-05-01T00:00:00,0.0,0.0,,,211.0,56.0,56.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
81,81,GHCND:USC00412114,2014-05-02T00:00:00,0.0,0.0,,,239.0,56.0,83.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
82,82,GHCND:USC00412114,2014-05-03T00:00:00,22.0,0.0,,,278.0,83.0,100.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
83,83,GHCND:USC00412114,2014-05-04T00:00:00,0.0,0.0,,,311.0,100.0,122.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
84,84,GHCND:USC00412114,2014-05-05T00:00:00,0.0,0.0,,,311.0,122.0,122.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
